customer_id,name,gender,age,city,registration_date
1,"Heba Rashad",Female,24,"Beni Suef",2025-12-12
2,"Habiba Sherif",Female,46,Mansoura,2023-09-06
3,"  Hossam Alaa",Male,38,Giza,2023-08-24
4,"Rania Bassem",Female,45," Minya",2024-12-23
5,"Nada  Raafat",Female,28,Zagazig,2025-06-02
6,"Shereen Hisham",Female,57,Faiyum,2024-10-16
7,"Ehab Kamal",Male,32,Tanta,2023-06-05
8,"Fady Naguib",Male,34,Suez,2024-08-10
9,"Dina Reda",Female,61,Assiut,2022-06-01
10,"Farouk Youssef",,40,Suez,2026-03-18
11,"Marwa Aly",Female,47,Damietta,2023-02-12
12,"Osama Fouad",Male,48,"Faiyum ",2024-02-21
13,"  Raafat Gomaa",Male,54,Minya,2025-12-03
14,"Mervat Tamer",Female,60,"Cairo ",2022-01-17
15,"Reda Osama",Male,56,Giza,2023-08-10
16,"Christine Medhat",Female,56,"Port Said",2023-03-25
17,"Fouad Sobhy",Male,57,"  Ismailia",2025-09-12
18,"Lobna Fahmy",f,58,Tanta,2025-07-09
19,"Hend Shaker",Female,37,Giza,2022-03-10
20,"Nadia Medhat",Female,64,Minya,2023-08-28
21,"Rasha Hafez",Female,65,Sohag,2023-02-16
22,"sobhy ramy",Male,52,Tanta,2026-04-04
23,"Radwa Ayman",Female,35,,2023-06-11
24,"Talaat Shawky",Male,25,Sohag,2022-06-04
25,"Christine Naguib",F,32,Tanta,2026-06-22
26," Mohamed Amgad",Male,41,Qena,2024-03-19
27,"Mariam Farouk",Female,52,Damietta,2024-01-25
28,"Amr Zidan",Male,55,Damietta,2025-07-31
29,"Hatem Zaki",Male,24,Minya,2024-08-23
30,"Anwar Shaker",Male,38,Qena,2026-02-26
31,"Randa Karim",Female,58,Alexandria,2025-12-06
32,"Nahla Elwy",Female,59,Assiut,2022-10-14
33," Ashraf Sami",Male,20,Giza,2024-10-05
34,"Sherif Osama",Male,33,Mansoura,2026-02-04
35,"Wagdy Emad"," Male",47,Faiyum,2025-11-27
36,"Sahar Aly",F,55,"Beni Suef",2022-11-13
37,"Yasser Naeem",Male,49,Mansoura,2023-07-27
38,"Eman Youssef",Female,62,Giza,2024-06-27
39,"Yasser Ashraf",Male,33,Suez,2026-01-26
40,"Lobna Adel",Female,52,MINYA,2026-06-15
41,"Nabil Sameh",Male,43,Giza,2022-09-08
42,"Amany Zaki",Female,23,Suez,2025-08-07
43,"Fouad Gamal",Male,21,Cairo,2023-05-14
44,"Marwa Ehab",Female,54,Tanta,2025-02-09
45,"Sara Sameh",Female,55,Ismailia,2023-04-23
46," Alaa Sayed",Male,27,Sohag,2025-05-05
47,"Amira Ayman",Female,27,NULL,2026-05-19
48,"Azza Mahmoud",Female,60,Mansoura,2026-02-03
49,"Osama Emad",Male,40,"Cairo ",2023-05-03
50,"Menna Youssef",female,19,Sohag,2022-04-18
51,"Lobna Karim",Female,51,"Beni Suef",2022-05-11
52,"Wael Amr",Male,46,Luxor,2024-11-17
53,"Khaled Anwar",Male,46,Mansoura,2025-06-13
54,"Yara Metwally"," Female",64,Giza,2025-09-11
55," Sara Mahmoud",Female,47,Assiut,2022-03-05
56,"Gamal Hossam",M,43,Luxor,2022-08-10
57,"Raafat Amgad",Male,22,"Suez ",2026-03-24
58,"Farouk Aly",Male,22,Tanta,2025-07-02
59,"Shawky Reda",Male,63,Qena,2025-05-08
60,"Reda Ehab",Male,36,Aswan,2025-05-24
61,"Hisham Aly",Male,24,"Beni Suef",2022-08-23
62,"Fady Khaled",Male,64,Qena,2026-04-21
63,"Ibrahim Fouad",Male,32," Suez",2024-07-17
64,"Hossam Hatem",Male,64,"BENI SUEF",2024-05-24
65,"Iman Youssef",Female,41,Damietta,2026-06-25
66,"Ghada Elwy",Female,22,Luxor,2022-06-24
67,"Youssef  Wagdy",Male,24,"Beni Suef",2024-02-03
68,"Sayed Shaker",Male,53,Tanta,2025-02-24
69,"Azza Fouad",Female,39,Qena,2024-04-21
70,"Habiba Nabil",Female,60,Minya,2026-04-19
71,"Samar Maged",Female,36,Giza,2023-12-22
72,"Essam Farouk",Male,NULL,Aswan,2024-09-14
73,"Heba Youssef",Female,40,Mansoura,2024-01-23
74,"Medhat Sobhy",Male,35,Mansoura,2024-05-28
75,"Heba Wael",Female,57,Qena,2025-08-09
76,"Shereen  Wael",Female,19,Qena,2025-09-09
77,"Aya Metwally",Female,19,Damietta,2025-12-10
78,"Amal Amgad",Female,39,Assiut,2023-01-07
79,"Sami Essam",Male,54,Tanta,2022-05-23
80," Ahmed Kamal",Male,65,Tanta,2022-03-04
81,"Aly Fahmy",Male,31,NULL,2024-07-18
82,"amal naeem",Female,37,Minya,2025-03-08
83,"Nermin Mahmoud",Female,21,Alexandria,2025-06-19
84,"  ESSAM TOLBA ",Male,61,Giza,2024-06-26
85,"Hazem Amgad",Male,49,NULL,2024-04-28
86,"Amgad Tarek",Male,25,"   ",2022-08-16
87,"Salma Fouad ",Female,51,Luxor,2022-04-04
88,"  Sherif Salah",Male,56,Faiyum,2023-02-23
89,"Amr Amgad",MALE,26,Ismailia,2023-08-16
90,"Radwa Ehab",Female,NULL,Mansoura,2024-05-31
91,"Magdy Essam",Male,42,"Tanta ",2023-04-17
92,"Ibrahim Ayman",Male,60,Qena,2022-05-28
93,"Salma Hossam",Female,65," Faiyum",2022-02-08
94,"Salah Fathy",M,38,Alexandria,2025-03-20
95,"Alaa Medhat",Male,36,"Beni Suef",2022-02-12
96,"Sherif Nader",M,28,Sohag,2025-06-19
97,"Raafat Refaat ",Male,23,Minya,2022-08-05
98,"Heba Alaa",F,55,"Beni Suef",2022-06-11
99,"Amany Hafez",Female,65,Assiut,2023-11-14
100,"Azza Raafat",Female,22,Zagazig,2022-08-22
101,"  Menna Osama",Female,50,Aswan,2023-12-17
102,"Gomaa Hisham ",Male,33,Tanta,2023-06-09
103,"Yara Farid",Female,NULL,Zagazig,2025-09-04
104,"Gomaa Adel",Male,58,Zagazig,2025-02-28
105,"Hatem Sorour",Male,61,Suez,2026-05-25
106,"Hend Zidan",Female,NULL,Sohag,2024-06-19
107,"Menna Refaat",Female,46,Luxor,2023-07-17
108,"Reem Fathy",F,40,Giza,2023-09-28
109,"Samar Barakat",Female,20,Suez,2023-08-11
110,"Shereen Fouad",Female,59,"Alexandria ",2026-01-24
111,"Shawky Ibrahim",Male,42,Aswan,2025-02-09
112,"Sanaa Hany",NULL,46,Giza,2026-05-27
113,"Reem Osama",Female,56,Sohag,2022-11-05
114,"Fouad Khaled",Male,46,Giza,2023-12-05
115,"Shereen Hafez",female,50,Alexandria,2022-03-22
116,"Wael Ramy",Male,46,Suez,2025-06-02
117,"Lobna Hatem",Female,41,Zagazig,2023-08-03
118,"menna ashraf",Female,44,Faiyum,2025-10-22
119,"Nadia Ahmed",Female,58,Giza,2022-05-15
120,"Osama Mostafa",Male,24,Sohag,2024-03-02
121,"Dina Maged",Female,34,Assiut,2025-09-06
122,"Bassem Essam",male,39,Tanta,2025-09-21
123,"  BASMA NAEEM ",Female,37,Minya,2026-06-28
124,"Shawky Amgad",Male,26,Faiyum,2022-06-23
125,"Sara Sherif",Female,53,Assiut,2023-11-04
126,"Karim Osama",NULL,60,Tanta,2025-11-04
127,"Mostafa Youssef",Male,50,"Beni Suef",2024-01-13
128,"Sahar Yasser",Female,29,Assiut,2026-03-29
129,"Iman Salah",Female,30,Luxor,2022-10-09
130,"Nader Awad",Male,22,Tanta,2022-07-27
131," Iman Hossam",Female,52,Aswan,2024-12-14
132,"Nahla Nabil",Female,57,sohag,2024-02-11
133,"Nour Farid",Female,16,Zagazig,2025-07-03
134,"Refaat Ehab",m,20,Suez,2025-10-17
135,"Fouad Refaat",male,46,"Port Said",2024-07-08
136,"Shorouk Reda",Female,33,Qena,2024-08-18
137,"RANDA TOLBA",Female,41,Ismailia,2025-03-14
138,"Hazem Sobhy",Male,36,"Suez ",2024-10-26
139,"Sami Nader",Male,28,"Beni Suef",2025-05-23
140,"Nesma Ahmed",Female,34,Tanta,2024-09-11
141,"Sami Maged",Male,53,Minya,2026-05-13
142,"Hend Elwy",Female,36,Mansoura,2022-11-25
143,"Sahar  Ramy",Female,46,Damietta,2026-02-07
144,"Samar Aly",Female,23,"Beni Suef",2026-02-26
145,"Bassem Amgad",Male,40,Suez,2026-04-17
146,"Nesma Sayed",Female,43,Giza,2023-04-28
147,"  Nermin Sabry",Female,23,Faiyum,2022-02-27
148,"Reda Maged",Male,63,Mansoura,2022-10-27
149,"  SAMAR SHERIF ",Female,20,Tanta,2024-08-25
150,"Yasmin Yasser",Female,63,Tanta,2025-06-14
151,"Habiba Sami",Female,23,Cairo,2023-03-18
152,"Iman Hany",Female,53,Tanta,2026-06-05
153,"Amira Fathy",Female,45,Aswan,2023-08-14
154,"Amr Salah",Male,37,"Port Said",2023-05-04
155,"Talaat Sobhy",Male,58,"Beni Suef",2024-07-25
156,"Wafaa Emad",Female,25,Alexandria,2024-10-20
157,"Enas Shaker",Female,19,Qena,2025-03-23
158,"Ahmed Hafez",Male,63,"Port Said",2024-05-29
159,"  RADWA SOBHY ",Female,33,Minya,2023-01-19
160,"gamal karim",Male,51,Alexandria,2026-01-18
161,"Doaa Bassem",Female,50,Qena,2024-11-05
162,"Sameh Essam",Male,19,Qena,2024-08-20
163,"Sobhy Awad",Male,58,"   ",2024-02-04
164,"Anwar Fathy ",Male,40,Cairo,2023-12-08
165,"Ashraf Sobhy ",Male,55,Mansoura,2023-11-12
166,"Hisham Omar",Male,40,Giza,2025-08-09
167,"Ramy Tolba",Male,92,Zagazig,2025-11-25
168," Sameh Hisham",Male,26,Zagazig,2024-07-26
169," Salah Youssef",Male,30,Assiut,2023-02-13
170,"Maged Shaker",Male,37,Sohag,2025-01-17
171,"Anwar Awad",male,34,Luxor,2025-08-17
172,"Amany Raafat",Female,40,Assiut,2026-01-13
173,"Raafat Amr",Male,35,Sohag,2024-01-24
174,"Maged Salah",MALE,43,"Beni Suef",2024-03-02
175,"Iman Bassem",Female,49,Zagazig,2024-01-23
176,"Wael Youssef",Male,35,Aswan,2024-05-19
177,"Christine Magdy",Female,45,Alexandria,2023-01-05
178,"Anwar Yasser",Male,36,"   ",2022-06-13
179,"Marian Shawky ",Female,37,Assiut,2024-05-22
180,"Wael Emad",Male,40,Suez,2023-12-24
181,"Amal Farid",Female,35,"Beni Suef",2022-04-28
182,"Aly Omar",Male,16,Alexandria,2024-01-15
183,"Randa Ashraf",F,27,Cairo,2025-10-20
184,"Medhat Adel",Male,26,,2025-08-14
185,"Shereen Osama",Female,54,Faiyum,2022-11-11
186,"Randa Sherif",Female,41,"Suez ",2022-06-07
187,"  RAMY SALAH ",Male,51,Tanta,2023-10-06
188,"Sherif Youssef",NULL,33,Damietta,2026-01-07
189,"Shereen Ramy",Female,51,Luxor,2025-02-24
190,"ALAA ADEL",Male,34,Mansoura,2025-12-12
191,"Sherif Ayman",Male,17,Ismailia,2024-10-02
192,"Kamal Rashad",Male,26,Mansoura,2026-04-26
193,"Samar Ashraf",Female,63,Zagazig,2022-06-29
194,"Wafaa Osama",Female,60,"Sohag ",2022-05-13
195,"Kamal Hazem",Male,36,Qena,2026-02-10
196,"Nahla Karim",Female,41,zagazig,2022-09-06
197,"Yasser Talaat",Male,33,TANTA,2022-02-23
198,"Sayed Karim ",Male,54,Qena,2025-02-03
199,"Mostafa Sobhy",Male,22,"Alexandria ",2024-09-07
200,"Eman Sorour",Female,44,"beni suef",2022-06-01
201,"Mervat Zaki",Female,59,"  Sohag",2024-08-12
202,"Salma Omar",Female,40,Aswan,2025-02-03
203,"Manal Ayman",Female,26,Zagazig,2022-04-24
204,"Sameh Sherif",male,51,Mansoura,2022-12-04
205,"Reem Mohamed",Female,63,Sohag,2024-11-28
206,"Nesma Hatem",Female,23,Assiut,2025-07-24
207,"Fatma Hisham",Female,35,"Qena ",2023-09-13
208,"Salah Sayed",Male,23,Qena,2022-12-12
209,"Karim Ahmed",Male,28,TANTA,2025-05-24
210,"Mervat  Raafat",Female,19,Giza,2025-08-06
211,"Gamal Khaled",M,59,Damietta,2025-03-17
212,"Yasmin Naguib",Female,49,Cairo,2026-05-20
213,"Hazem Hisham",Male,59,assiut,2026-05-04
214,"Asmaa Farouk",Female,37,Faiyum,2025-11-11
215,"Nader Hazem",Male,28," Giza",2024-09-18
216,"Ayman Medhat",m,39,Ismailia,2023-10-03
217,"Yara Sorour",Female,81,Sohag,2026-03-30
218,"Sameh Ashraf",Male,41,Tanta,2022-08-06
219,"Ibrahim Hisham",M,33,Sohag,2023-07-02
220,"Sami Ashraf",Male,27,"Port Said",2023-08-18
221,"Mohamed Sorour",Male,57,Faiyum,2022-11-24
222,"Hend Barakat",Female,54,Sohag,2023-01-24
223,"RADWA SAMI",Female,49,Zagazig,2026-04-30
224,"mervat metwally",Female,49,Assiut,2024-03-16
225,"Adel Refaat",Male,NULL,Suez,2023-12-24
226,"Zaki Nader",Male,36,Giza,2025-09-01
227,"Amr Osama",Male,36,Luxor,2022-08-09
228,"Sayed Anwar",Male,26,"Beni Suef",2026-04-04
229,"Yasmin Hisham",Female,41,Faiyum,2022-04-15
230,"Aya Ehab",Female,30,Qena,2023-08-15
231,"Waleed Sherif",Male,42,Alexandria,2025-01-31
232,"Amira Elwy",Female,57,damietta,2022-09-01
233,"Mohamed Shawky",Male,43,Mansoura,2023-11-26
234,"Menna Sherif",Female,41,Qena,2023-02-12
235,"Shawky Fathy",Male,NULL,Aswan,2022-04-03
236,"Samar Sami"," Female",63,Tanta,2024-08-28
237,"Wagdy Sayed",Male,27,Suez,2024-11-21
238,"Alaa Hisham ",Male,38,Tanta,2026-03-23
239,"Hazem Fathy",Male,74,Faiyum,2023-09-05
240,"Fathy Hisham",Male,50,Aswan,2025-12-22
241,"Marwa Hafez",Female,48,Assiut,2024-01-25
242,"Amgad Tolba"," Male",61,Sohag,2024-05-03
243,"Amira Hossam",Female,64,Assiut,2026-06-11
244,"Eman Karim",Female,56,Cairo,2025-09-04
245,"Marwa Osama",Female,64,"Port Said",2024-09-10
246,"Maged Hany",Male,51,Zagazig,2025-06-23
247," Sahar Alaa",Female,27,Faiyum,2023-05-12
248,"Amr Amr",Male,30,Mansoura,2023-10-05
249,"Sanaa Fady",Female,27," Beni Suef",2023-02-22
250,"  NOUR HOSSAM ",Female,57,Aswan,2026-01-16
251,"Adel Tarek",Male,51,"  Tanta",2023-10-28
252,"Yasmin Barakat",Female,51,Luxor,2022-12-21
253,"Eman Fahmy",Female,70,Suez,2023-12-27
254,"Tarek Khaled"," Male",30,Luxor,2026-03-13
255,"Tarek Fathy",Male,32,Assiut,2026-03-18
256,"Dalia Metwally",Female,63,,2025-12-14
257,"Tarek Tolba",Male,40,LUXOR,2023-07-15
258,"Sabry Ehab",Male,54,Mansoura,2024-02-17
259,"  Ayman Bassem",Male,40,Faiyum,2026-02-07
260,"Iman Naguib",Female,36,Giza,2026-01-21
261,"Nermin Rashad",Female,46,minya,2024-09-08
262,"  NADER HATEM ",Male,52,Ismailia,2025-02-25
263,"Randa Shawky",female,26,Damietta,2025-04-16
264,"Essam Hisham",Male,21,"Port Said",2024-12-23
265,"Aly Ahmed",Male,58,"Port Said",2022-07-25
266,"  TAREK NABIL ",Male,39,"Beni Suef",2022-07-25
267,"Ehab Maged",Male,18,"   ",2026-02-10
268,"Heba Fahmy",Female,48,Luxor,2023-08-12
269,"Nabil Sherif",Male,36,Sohag,2022-07-03
270,"Tamer Alaa",male,52,"Port Said",2022-03-18
271,"Azza Mohamed",Female,29,"Beni Suef",2026-01-10
272,"Nadia Metwally",Female,49,Faiyum,2023-08-16
273," Waleed Khaled",Male,18,Giza,2025-05-19
274,"Refaat Sorour",Male,36,Sohag,2025-08-06
275,"Osama Sherif",Male,51,Qena,2022-10-02
276,"  Raafat Fouad",Male,47,Aswan,2022-08-19
277,"Hatem Fady",Male,64,"  Zagazig",2023-06-11
278,"gomaa ibrahim",Male,18,Zagazig,2023-08-28
279,"Bassem Shaker",Male,29,Ismailia,2025-08-01
280,"OSAMA BASSEM",Male,45,Faiyum,2022-06-27
281,"Shereen Ashraf",Female,29,Mansoura,2026-05-03
282,"Rasha Farouk",Female,33,Sohag,2024-02-25
283,"  Tarek Maged",Male,46,"Port Said",2023-11-07
284,"Sahar Waleed",Female,34,Cairo,2025-11-19
285,"  Rasha Khaled",Female,21,"Port Said",2024-08-11
286,"Sherif  Fouad",Male,43,Zagazig,2025-12-11
287,"Kamal Hatem",Male,62,ASSIUT,2023-08-28
288,"Waleed Sobhy",Male,32,"Port Said",2026-05-03
289,"Bassem Waleed",Male,47,Tanta,2025-05-25
290,"Enas Sherif",Female,44,Minya,2024-08-22
291,"Osama Farid",Male,60,Qena,2023-05-22
292,"Doaa Farid",Female,51,ALEXANDRIA,2025-12-12
293,"Sayed Naeem",Male,54,Alexandria,2025-01-26
294,"Samar Naguib",Female,30,Aswan,2022-11-03
295,"Alaa Raafat",Male,NULL,Zagazig,2026-04-24
296,"Sherif Awad",,63,Ismailia,2022-07-06
297,"Omar Salah",Male,47,Giza,2024-04-30
298,"Magdy Amr",Male,54,Suez,2024-08-04
299,"Radwa Tarek",Female,NULL,Assiut,2023-06-06
300,"Ahmed Sherif",Male,55,Ismailia,2024-05-17
301,"Magdy Wael",Male,62,Minya,2022-05-04
302,"Mahmoud Sorour",Male,20,Luxor,2023-01-04
303,"Amr Farouk",Male,59,Tanta,2026-06-15
304,"Gomaa Hany",Male,41," Beni Suef",2026-04-08
305,"Refaat  Hafez",Male,42,Faiyum,2025-09-17
306,"Maged Zaki",Male,26,Qena,2023-12-14
307,"asmaa yasser",Female,29,Mansoura,2026-04-11
308,"Menna Emad",Female,64,Tanta,2026-01-01
309,"EHAB METWALLY",Male,47,Assiut,2025-01-20
310,"Shorouk Hatem",F,42,Qena,2023-05-22
311,"Hisham Barakat",Male,27,Minya,2022-08-20
312,"Nesma Nabil",female,60,Giza,2022-02-02
313,"SAYED FARID",Male,22,Ismailia,2022-03-10
314,"Amany Sayed",Female,33,Giza,2024-04-03
315,"Shaimaa Shaker",Female,NULL,Suez,2022-04-26
316,"Marian Amr",Female,36,Aswan,2025-03-25
317,"Rasha  Naguib",Female,54,Sohag,2025-10-09
318,"Hossam Hossam",Male,33,Sohag,2022-10-21
319,"Alaa Elwy",Male,32,Aswan,2023-07-18
320,"Alaa Tarek",Male,53,Giza,2026-02-14
321,"  MERVAT YASSER ",Female,53,"Beni Suef",2023-12-07
322,"Sameh Talaat",Male,51,Faiyum,2024-05-02
323,"Heba Mahmoud",Female,27,"Beni Suef",2023-01-12
324,"Ahmed Reda",Male,48,QENA,2023-04-07
325,"Salma Barakat",Female,47,Tanta,2026-05-24
326,"Ayman Zaki",Male,44,"Beni Suef",2022-10-02
327,"Shorouk Emad",Female,33,Faiyum,2023-11-08
328,"azza zidan",Female,46,Alexandria,2022-07-09
329,"Basma Sami",Female,21,Ismailia,2025-10-11
330,"Yasmin Ashraf",Female,22,Giza,2025-04-18
331,"Yasmin Ramy",Female,31,Qena,2023-11-13
332,"Habiba Hisham",f,18,Assiut,2023-01-25
333,"Shawky Ahmed",Male,65,Mansoura,2026-05-03
334,"Sobhy Adel",M,62,"Port Said",2023-02-23
335,"Sameh Sabry",Male,53,"Port Said",2023-08-03
336,"  Amany Farouk",Female,47,Faiyum,2024-01-06
337,"Menna Medhat",Female,41,Damietta,2024-10-15
338,"Wafaa Shaker",Female,24,Suez,2024-08-19
339,"Wafaa Sameh",Female,31,Sohag,2024-04-27
340,"Nesma Mohamed",Female,54,Giza,2026-02-07
341,"Hala Gamal",Female,53,"  Damietta",2026-05-29
342,"Nada Fouad",Female,NULL,"Beni Suef",2023-11-07
343,"Essam Aly",Male,54,Faiyum,2024-10-19
344,"  Nada Amr",Female,59,Qena,2026-03-28
345,"Nahla Hatem",Female,64,Luxor,2024-10-01
346,"Basma Adel",Female,28,suez,2023-12-23
347,"Sameh Ayman",Male,64,Tanta,2023-01-12
348,"Menna Khaled",Female,59,Qena,2026-05-15
349,"Dina Tamer",Female,14,Giza,2026-06-21
350,"Ibrahim Awad",male,44,Cairo,2025-07-15
